Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latvia,2061000,2297000,2524000,3127000,3791000,4649000,5209000,5496000,4727000,5042000,5538000,5569000,5822000,6246000,6842000,6797000,7726000,7775000,8342000,3204000
"Macao SAR, China",10279000,11531000,11888000,16673000,18711000,21998000,27003000,22933000,21753000,24965000,28002000,28082000,29325000,31526000,30715000,30950000,32611000,35804000,39406000,5897000
St. Martin (French part),,,,,,,,,,,,,,,,,,,,
Morocco,4596000,4709000,5021000,5732000,6077000,6777000,7701000,8209000,8661000,9752000,9784000,9830000,10349000,10507000,10542000,10677000,11540000,12489000,13109000,2802000
Monaco,270000,263000,235000,250000,286000,313000,328000,324000,265000,279000,295000,292000,328000,329000,331000,336000,355000,347000,363000,159000
Moldova,16000,18000,21000,69000,67000,63000,70000,73000,60000,64000,75000,89000,95599.99847,93900.00153,94400.00153,121000,145000,160000,174000,29000
Madagascar,,,,,,,,,,,,,,,282000,333000,285000,360000,486000,87099.99847
Maldives,461000,485000,564000,617000,395000,602000,676000,683000,656000,792000,931000,958000,1125000,1205000,1234000,1286000,1390000,1484000,1703000,555000
Middle East & North Africa,,,,80626989.2,83145581.49,90007073.63,99102298.55,115019778.3,113027486.5,130361782.1,111858609.8,124595751.5,125860611.7,133162231.8,126208646.1,119350820.6,127054293.5,139804138,152571280,
Mexico,100718000,100153000,92330000,99250000,103146000,97701000,93582000,92948000,88044000,81953000,75732000,76749000,78100000,81042000,87129000,94853000,99349000,96497000,97406000,51128000
Marshall Islands,5400.000095,6000,7199.999809,9000,9199.999809,5800.000191,7199.999809,6000,5400.000095,4599.999905,4599.999905,4599.999905,,4900.000095,6300.000191,5400.000095,6000,6800.000191,6099.999905,
Middle income,375000502.6,394155191.5,384233687.5,441446433.2,473913514.8,490340950.5,529427962.3,546648340.2,531427960.5,557355435.1,567578027.4,589199451.6,607530503.4,615263536.6,639288627.7,655230626.6,711194514.8,758857901.9,790163362.9,
North Macedonia,99000,123000,158000,165000,197000,202000,230000,255000,259000,262000,327000,351000,400000,425000,486000,510000,631000,707000,758000,118000
Mali,89000,96000,110000,113000,143000,153000,164000,190000,160000,169000,160000,134000,142000,168000,159000,173000,193000,203000,217000,
Malta,1439000,1483000,1512000,1428000,1484000,1521000,1723000,1832000,1608000,1815000,1916000,2007000,2013000,2162000,2383000,2592000,2944000,3232000,3519000,718000
Myanmar,475000,487000,597000,657000,660000,630000,716000,731000,763000,792000,816000,1059000,2044000,3081000,4681000,2907000,3443000,3551000,4364000,903000
Middle East & North Africa (excluding high income),25760103.49,29063175.72,30679598.57,37570149.47,38948343.13,42009917.53,44628483.89,50431455.77,53336591.6,62924889.12,50267660.08,53404835.82,51878546.95,51968618.04,47236883.36,41373623.82,48550026.98,58807590.79,65756226.13,
Montenegro,,136000,142000,188000,272000,378000,984000,1031000,1044000,1088000,1201000,1264000,1324000,1350000,1560000,1662000,1877000,2077000,2510000,351000
