Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,
Mauritius,161000,162000,161000,180000,183000,186000,213000,226000,196000,212000,219000,237000,228000,223000,242000,260000,283000,296000,320000,65000
Malawi,,,,,,,,,,,,,,,,,,,,
Malaysia,36248000,29866000,32201000,30761000,,,,,,,,,,,,,,,,
North America,111587576.6,106504719.5,99923424.98,104905071.9,104333299.8,195429088.7,190429282.1,187919387.2,177467474.7,175226064.5,176030211.6,181537219.4,184781813.1,185469939,186369103.6,194540598.9,203037153.6,196550372.9,208814203,
Namibia,,,,,,,,,,,,,,,,,,,,
New Caledonia,68000,72000,78000,89000,96000,100000,106000,112000,119000,132000,124000,121000,121000,124000,127000,134000,135000,139000,144000,48000
Niger,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,
Nicaragua,499000,532000,562000,701000,740000,773000,949000,942000,858000,908000,912000,979000,994000,959000,925000,981000,982000,974000,949000,325000
Netherlands,14214000,16719000,16425000,17130000,17039000,16695000,17523000,18399000,18340000,18368000,18560000,18628000,18094000,17928000,17535000,18152000,20763000,20981000,22045000,
Norway,2348000,2629000,2588000,2960000,3166000,3236000,3395000,,6640000,7590000,8130000,9250000,9280000,9190000,8750000,8030000,8170000,8110000,8890000,1690000
Nepal,200000,238000,258000,286000,373000,415000,469000,561000,589000,765000,774000,862000,983000,,,,1197000,,,
Nauru,,,,,,,,,,,,,,,,,,,,
New Zealand,1287000,1293000,1374000,1733000,1872000,1861000,1978000,1967000,1918000,2026000,2096000,2172000,2197000,2276000,2412000,2611000,2853000,3038000,3225000,511000
OECD members,667042369,662519504.1,657584572.5,680025751,700513025.6,783842500.7,782447672.3,788079466.3,746445148.5,750725208.9,756246597.7,767313596.5,786624578.6,780358507.9,813932356.3,849355803.6,897596488.5,922286548.2,936358201.3,
Oman,,,,,2496000,2664000,2945000,3100000,2470000,2829000,3341000,3972000,4301000,4727000,5424000,5902000,6368000,5975000,6633000,1657000
Other small states,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,
Panama,200000,200000,227000,256000,285000,284000,314000,369000,336000,392000,414000,447000,619000,853000,965000,1051000,869000,1020000,1226000,401000
Peru,1060000,1232000,1433000,1635000,1841000,1857000,1915000,1913000,1891000,2058000,2132000,2296000,2364000,2442000,2595000,2751000,2875000,3078000,3275000,791000
Philippines,1787000,1969000,1803000,1920000,2144000,2745000,3066000,3355000,3188000,,,,,3488000,5115000,5703000,,,,1483000
Palau,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,38000,92000,,,,,,,,,,,,,,,,,,
Poland,53122000,45043000,38730000,37226000,40841000,44696000,47561000,50243000,39270000,42760000,43270000,48290000,52580000,35400000,44300000,44500000,46700000,48600000,50600000,
Pre-demographic dividend,,,,,,,,,,,,,,,,,,,,
Puerto Rico,1331000,1227000,1272000,1361000,1410000,1468000,1441000,1438000,1116000,980000,924000,876000,839000,793000,746000,789000,792000,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,1361000,1490000,1502000,1893000,1941000,2195000,2486000,3100000,680000
Paraguay,157000,141000,153000,170000,188000,210000,242000,278000,288000,302000,347000,400000,440000,426000,1008000,1503000,1548000,1266000,1192000,214000
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,
Pacific island small states,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,555272074.8,567795804.7,567029753.8,594526471.9,613392162.7,709156453.3,726390766,731319795.2,711235050.2,719820891.3,734161121.6,745568404.8,758156232.3,763952881.9,788114608.2,825414522.1,874808571.4,905881478.5,928930206.2,
French Polynesia,,,,,,,,,88000,89000,84000,83000,,48000,55000,48000,55000,47000,63000,12000
Qatar,,,,,,,,,,,,,,,,,,,,
Romania,6408000,5757000,6497000,6972000,7140000,8906000,10980000,13072000,11723000,10905000,10936000,11149000,11364000,12299000,13118000,16128000,19953000,21039000,23066000,9510000
Russian Federation,18030000,20428000,20572000,24507000,28416000,29107000,34285000,36538000,34276000,39323000,43726000,47813000,54069000,45889000,34550000,31659000,39629000,41964000,45330000,12361000
Rwanda,,,,,,,,,,,,,,,,,,,,
South Asia,7315303.878,7919088.552,8739410.803,10087901.43,11604810.18,13066725.25,15516234.99,15344379.77,17197962.35,19412317.08,20968725.15,22344747.15,23509162.41,25813028.78,28561108.98,30648125.41,33358092.59,36499131.17,37266648.54,
Saudi Arabia,,,,4234000,5009000,2336000,4817000,4705000,6467000,18625000,15865399.41,20084259.77,22535457.03,22322601.56,25054000,27618000,28748000,27425000,27196000,
Sudan,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,
Singapore,4363000,4399000,4221000,5165000,5159000,5533000,6024000,6828000,6961000,7342000,7753000,8048000,8647000,8903000,9125000,9474000,9889000,10378000,10711000,1543000
Solomon Islands,,,,,,,,,,,,,,,,,,,,
Sierra Leone,20000,27000,13000,28000,63000,67000,71000,73000,72000,76000,99000,104000,111000,93000,61000,92000,110000,112000,122000,
El Salvador,933000,1001000,940000,1079000,1239000,1242000,1012000,,1345000,1421000,1469000,1462000,1515000,1515000,1618000,1804000,1871000,1788000,1899000,515000
San Marino,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,
Small states,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,8600.000381,10300.00019,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,2987000,3149000,3603000,3683000,3230000,2692000,3285000,2689000,2129000,2406000,2777000,3095000,3870000,4662000,5214000,
Slovenia,,,,,6736000,6814000,5569000,5490000,5575000,5340000,5073000,4465000,4440000,4672000,4909000,5408000,5410000,5409000,6049000,1892000
Sweden,,,,,,,,,,,,,,,,,22121000,19939000,19061000,6081000
Eswatini,,,,,1082000,1072000,1130000,1177000,1245000,1141000,1264000,1403000,1573000,1657000,1713000,1789000,1751000,1717000,1721000,488000
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,
Seychelles,41000,53000,50000,48000,52000,55000,58000,54000,49000,59000,48000,45000,47000,50000,56000,68000,74000,72000,76000,19000
Syrian Arab Republic,3492000,3299000,3997000,4309000,4564000,4042000,4196000,5253000,5215000,6259000,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,58000,66000,39000,76000,79000,,,,56000,52000,,,5500
East Asia & Pacific (IDA & IBRD countries),33192114.13,32773176.55,36379886.77,41526785.58,45087027.35,51153567.78,59704120.37,65407741.29,67057893.79,80833199.94,96258329.79,112438994.7,131359279.2,153425771.7,168142535.8,178896138,189774542,199745794.7,207926772.2,
Europe & Central Asia (IDA & IBRD countries),120107914.5,116180036,111527590.9,118880525.4,131897897.9,142195981.6,154147831.7,161440288.6,147862320.9,159956286.4,173796366.8,187912955,207108018.7,178269883,180141229.3,181773707,204344687.1,218948144.6,230131574.3,
Togo,,,,,,,,,,,,,,,,191000,216000,236000,269000,
Thailand,2011000,2250000,2152000,2709000,3047000,3382000,4018000,3908000,4653000,5451000,5397000,5721000,5970000,6444000,6794000,8204000,8963000,9966000,10446000,
Tajikistan,2700.000048,,,,,,,,,,,15000,15000,19000,16000,22000,31000,31000,,
Turkmenistan,111000,79000,34000,32000,33000,33000,38000,,,,,,,,,,,,,
