,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
92,Cambodia,-0.12,-0.04,1.03,3.92,6.35,6.14,7.67,25.0,-0.66,4.0,5.26,3.15,2.94,3.86,1.22,3.02,2.91,2.39,2.01,2.94,2.92,6.07,6.04188411579944,6.03493783852636,6.065369148484614,5.978044519908754
93,Kiribati,6.0,3.18,1.63,-0.74,-0.35,-1.0,3.59,13.66,9.82,-3.9,1.5,-3.05,-1.49,2.1,0.57,1.92,0.36,0.59,-1.88,2.48,3.0,5.6,5.558219684352066,5.481540516810175,5.305080124838753,5.380284693004846
94,St. Kitts and Nevis,2.14,2.08,2.27,2.25,3.37,8.49,4.48,5.3,2.06,0.85,5.84,0.82,1.11,0.25,-2.3,-0.34,0.0,-0.23,-0.18,-0.59,0.2,3.78,3.784640619247249,3.7397812998571762,3.8728123849449783,4.267265020961135
95,"Korea, Rep.",4.07,2.76,3.51,3.59,2.75,2.24,2.53,4.67,2.76,2.94,4.03,2.19,1.3,1.27,0.71,0.97,1.94,1.48,0.38,0.54,2.5,5.09,5.361289532436022,5.683219777629017,5.694071358928703,5.896634209838451
96,Kuwait,1.45,0.8,0.99,1.26,4.12,3.09,5.47,6.3,4.61,4.5,4.91,3.2,2.7,2.88,3.27,2.96,1.51,0.57,1.1,1.0,3.42,3.98,4.409721746913418,4.574999341880117,4.515499407692105,4.38658288361808
97,Lao PDR,7.74,10.61,15.5,10.49,7.17,6.56,4.66,7.62,0.15,5.98,7.57,4.25,6.36,4.12,1.28,1.6,0.66,2.03,3.32,5.13,3.76,22.96,21.892029741518105,23.194583062554727,21.811777641169755,20.05857791048731
98,Lebanon,-0.37,1.76,1.27,1.67,-0.72,5.57,4.06,10.76,1.22,3.97,4.99,6.55,5.57,1.12,-3.75,-0.82,4.48,6.07,2.89,84.86,154.76,171.2,170.19646068992543,170.57765004026382,172.30856086577998,174.20283855572688
99,Liberia,12.15,14.16,10.33,3.56,6.95,9.51,11.39,17.49,7.43,7.29,8.49,6.83,7.58,9.86,7.74,8.84,12.44,23.56,26.97,11.89,7.82,6.91,6.907089089898609,6.911835138976964,6.926263128175166,6.912847629447014
100,Libya,-8.84,-9.86,-2.06,1.25,2.66,1.47,6.21,10.4,2.45,2.46,15.9,6.07,2.59,2.43,9.84,25.88,28.47,-1.2,4.56,22.26,2.77,5.52,13.695814116244211,5.81441989892292,5.452056946402401,22.23399118500895
101,St. Lucia,5.27,-0.26,1.03,1.46,3.91,3.56,2.82,5.55,-0.16,3.25,2.77,4.18,1.47,3.52,-0.99,-3.09,0.11,1.99,0.54,0.34,2.38,6.4,6.315094153827174,6.562507963642611,6.375349915627243,6.787097621261052
102,Sri Lanka,14.16,9.55,8.97,9.01,10.98,10.02,15.84,9.64,3.43,6.25,6.72,7.54,6.9,2.84,3.75,3.97,6.58,2.14,4.3,6.15,7.01,50.43,51.725198321161294,51.08261930910058,47.00625870133916,47.919925734113235
