Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Caledonia,,,,,,,,186000000,160000000,164000000,180000000,177000000,169000000,159000000,108000000,99000000,,,,
Niger,7000000,12000000,17000000,20000000,12000000,14000000,19000000,30000000,30000000,3000000,17000000,96000000,34000000,44000000,70000000,36000000,40000000,46000000,42000000,
Nigeria,27000000,29000000,281000000,,261000000,257000000,1075000000,1230000000,1224000000,2782000000,2935000000,3099000000,3288000000,3393000000,3412000000,3445000000,2397000000,3649000000,2897000000,1065000000
Nicaragua,52000000,56000000,64000000,65000000,71000000,88000000,111000000,121000000,122000000,104000000,102000000,105000000,125000000,118000000,117000000,129000000,130000000,130000000,131000000,39000000
Netherlands,1067000000,1225000000,622000000,589000000,,,,,,,,316000000,311000000,2563000000,2196000000,2273600098,2315899902,2556800049,2067699951,406600006.1
Norway,308000000,421000000,373000000,405000000,722000000,552000000,1135000000,1018000000,1120000000,1186000000,1135000000,1528000000,1651000000,1627000000,1187000000,1315000000,1220000000,1255000000,1172000000,370000000
Nepal,48000000,39000000,38000000,51000000,58000000,76000000,128000000,164000000,138000000,126000000,100000000,149000000,176000000,176000000,142000000,47000000,103000000,82000000,11000000,4000000
Nauru,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,
OECD members,66659316119,67449576086,71049142760,81382276709,90458570131,97479066161,1.10287E+11,1.21143E+11,1.05435E+11,1.2299E+11,1.38178E+11,1.43837E+11,1.31694E+11,1.32282E+11,1.19782E+11,1.16094E+11,1.2378E+11,1.41434E+11,1.41267E+11,
Oman,185000000,172000000,174000000,179000000,195000000,182000000,200000000,341000000,393000000,242000000,325000000,362000000,398000000,426000000,439000000,505000000,580000000,668000000,771000000,200000000
Other small states,,,,,,,,,,,,,,,,,,,,
Pakistan,303000000,236000000,238000000,344000000,473000000,484000000,482000000,645000000,413000000,445000000,727000000,437000000,555000000,844000000,984000000,1022000000,1119000000,1074000000,1346000000,397000000
Panama,53000000,73000000,59000000,55000000,117000000,132000000,150000000,194000000,165000000,177000000,174000000,176000000,216000000,205000000,217000000,207000000,211000000,211000000,211000000,136000000
Peru,228000000,200000000,206000000,209000000,218000000,249000000,275000000,310000000,316000000,372000000,412000000,461000000,513000000,529000000,660000000,658000000,702000000,749000000,852799987.8,205000000
Philippines,207000000,248000000,236000000,251000000,268000000,321000000,321000000,496000000,385000000,477000000,439000000,592000000,567000000,532000000,525000000,546000000,592000000,611000000,888000000,304000000
Palau,6699999.809,9600000.381,9000000,9199999.809,10000000,9300000.191,8699999.809,11000000,9699999.809,9199999.809,8699999.809,9199999.809,8300000.191,7800000.191,9100000.381,9500000,9600000.381,,,
